NO.,HVDC_CODE,SITE,EQ_NO,CASE_NO.,PKG,STORAGE,DESCRIPTION,L(CM),W(CM),H(CM),CBM,N.W(KGS),G.W(KGS),STACK,STACK_STATUS,HS_CODE,CURRENCY,PRICE,VESSEL,COE,POL,POD,ETD/ATD,ETA/ATA,DHL_WAREHOUSE,DSV_INDOOR,DSV_AL_MARKAZ,DSV_OUTDOOR,HAULER_INDOOR,DSV_MZP,MOSB,SHIFTING,MIR,SHU,DAS,AGI,STATUS_WAREHOUSE,STATUS_SITE,STATUS_CURRENT,STATUS_LOCATION_TEMP,STATUS_LOCATION,STATUS_LOCATION_DSV_INDOOR_DSV_AL_MARKAZ,STATUS_LOCATION_DSV_AL_MARKAZ,STATUS_LOCATION_DSV_INDOOR,STATUS_LOCATION_DATE,STATUS_LOCATION_DATE_YEAR,STATUS_LOCATION_DATE_MONTH,STATUS_STORAGE,WH_HANDLING_LEGACY,SITE_HANDLING,TOTAL_HANDLING,MINUS,FINAL_HANDLING,SQM,STACK_STATUS2,STATUS_LOCATION_YEARMONTH,VENDOR,SOURCE_FILE,SITE_HANDLING_ORIGINAL,TOTAL_HANDLING_ORIGINAL,WH_HANDLING_ORIGINAL,FLOW_CODE,FLOW_DESCRIPTION,FINAL_LOCATION
21,HVDC-ADOPT-HE-0002,DAS,EQ-001,207849,1,Outdoor covered,Composite Post Insulator-Bottom,348,101,105,3.69054,500,598,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,2024-05-08,2024-05-08,,,2024-07-14,,1,1,site,DAS,DAS,,,,2024-07-14,2024,7,site,3,1,4,2,2,3.5148,2,2024-07-01,HITACHI,HITACHI(HE),1,4,3,3,Port WH MOSB Site,DAS
22,HVDC-ADOPT-HE-0002,DAS,EQ-001,207850,1,Outdoor covered,Composite Post Insulator-Bottom,348,101,105,3.69054,500,598,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,2024-05-08,2024-05-08,,,2024-07-14,,1,1,site,DAS,DAS,,,,2024-07-14,2024,7,site,3,1,4,2,2,3.5148,2,2024-07-01,HITACHI,HITACHI(HE),1,4,3,3,Port WH MOSB Site,DAS
23,HVDC-ADOPT-HE-0002,DAS,EQ-001,207851,1,Outdoor covered,Composite Post Insulator-Bottom,348,101,105,3.69054,500,598,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,2024-05-08,2024-05-08,,,2024-07-14,,1,1,site,DAS,DAS,,,,2024-07-14,2024,7,site,3,1,4,2,2,3.5148,2,2024-07-01,HITACHI,HITACHI(HE),1,4,3,3,Port WH MOSB Site,DAS
24,HVDC-ADOPT-HE-0002,DAS,EQ-001,207852,1,Outdoor covered,Composite Post Insulator-Bottom,348,101,105,3.69054,500,598,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-07,2024-01-20,,,,2024-01-25,,,2024-05-08,2024-05-08,,,2024-07-14,,1,1,site,DAS,DAS,,,,2024-07-14,2024,7,site,3,1,4,2,2,3.5148,2,2024-07-01,HITACHI,HITACHI(HE),1,4,3,3,Port WH MOSB Site,DAS
25,HVDC-ADOPT-HE-0003,DAS,EQ-001,207714,1,Outdoor covered,Side Shield Pairs - Pack 1,240,183,58,2.54736,742,842,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,,,2024-01-26,,,2025-05-27,,,,2025-06-13,,1,1,site,DAS,DAS,,,,2025-06-13,2025,6,site,2,1,3,1,2,4.392,2,2025-06-01,HITACHI,HITACHI(HE),1,3,2,3,Port WH MOSB Site,DAS
26,HVDC-ADOPT-HE-0003,DAS,EQ-001,207717,1,Outdoor covered,Laminate stud assemblies,238,183,58,2.526132,730,830,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,,,2024-01-26,,,2025-05-27,,,,2025-06-13,,1,1,site,DAS,DAS,,,,2025-06-13,2025,6,site,2,1,3,1,2,4.3554,2,2025-06-01,HITACHI,HITACHI(HE),1,3,2,3,Port WH MOSB Site,DAS
27,HVDC-ADOPT-HE-0003,DAS,EQ-001,207778,1,Outdoor covered,Side Shield Pairs - Pack 1,420,205,140,12.054,590,1031,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,,,2024-01-26,,,,,,,2025-05-16,,1,1,site,DAS,DAS,,,,2025-05-16,2025,5,site,1,1,2,0,2,8.61,2,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
28,HVDC-ADOPT-HE-0003,DAS,EQ-001,207779,1,Outdoor covered,Side Shield Pairs - Pack 1,420,205,140,12.054,590,1031,Stackable x2,2,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,,,2024-01-26,,,,,,,2025-05-16,,1,1,site,DAS,DAS,,,,2025-05-16,2025,5,site,1,1,2,0,2,8.61,2,2025-05-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
29,HVDC-ADOPT-HE-0003,DAS,EQ-001,207607,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-07,,1,1,site,DAS,DAS,,,,2025-06-07,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
30,HVDC-ADOPT-HE-0003,DAS,EQ-001,207608,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-07,,1,1,site,DAS,DAS,,,,2025-06-07,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
31,HVDC-ADOPT-HE-0003,DAS,EQ-001,207609,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-07,,1,1,site,DAS,DAS,,,,2025-06-07,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
32,HVDC-ADOPT-HE-0003,DAS,EQ-001,207610,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-07,,1,1,site,DAS,DAS,,,,2025-06-07,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
33,HVDC-ADOPT-HE-0003,DAS,EQ-001,207611,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-07,,1,1,site,DAS,DAS,,,,2025-06-07,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
34,HVDC-ADOPT-HE-0003,DAS,EQ-001,207612,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-07,,1,1,site,DAS,DAS,,,,2025-06-07,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
35,HVDC-ADOPT-HE-0003,DAS,EQ-001,207613,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-07,,1,1,site,DAS,DAS,,,,2025-06-07,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
36,HVDC-ADOPT-HE-0003,DAS,EQ-001,207614,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-07,,1,1,site,DAS,DAS,,,,2025-06-07,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
37,HVDC-ADOPT-HE-0003,DAS,EQ-001,207615,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-07,,1,1,site,DAS,DAS,,,,2025-06-07,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
38,HVDC-ADOPT-HE-0003,DAS,EQ-001,207616,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-11,,1,1,site,DAS,DAS,,,,2025-06-11,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
39,HVDC-ADOPT-HE-0003,DAS,EQ-001,207617,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-11,,1,1,site,DAS,DAS,,,,2025-06-11,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
40,HVDC-ADOPT-HE-0003,DAS,EQ-001,207618,1,Indoor,Serpentine,428,82,112,3.930752,60,310,Stackable x3,3,85044083,SEK,433859,MSC Ambra,Sweden,Gothenburg,Khalifa port,2023-12-14,2024-01-19,,2024-01-29,,,,,,,,,2025-06-11,,1,1,site,DAS,DAS,,,,2025-06-11,2025,6,site,1,1,2,0,2,3.5096,3,2025-06-01,HITACHI,HITACHI(HE),1,2,1,2,Port WH Site,DAS
