hvdc_code,case_no,site_code,eq_no,pkg,description,final_location,storage,l_cm,w_cm,h_cm,cbm,nw_kg,gw_kg,sqm,vendor
HVDC-ADOPT-HE-0003,207633,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207634,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207635,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207636,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207637,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207638,DAS,EQ-001,1,Serpentine,DAS,Indoor,428.0,82.0,112.0,3.930752,60.0,310.0,3.5096,HITACHI
HVDC-ADOPT-HE-0003,207699,DAS,EQ-001,1,Side Shield Holders,DAS,Outdoor Covered,355.0,92.0,99.0,3.23334,944.0,1126.0,3.266,HITACHI
HVDC-ADOPT-HE-0003,207712,DAS,EQ-001,1,Laminate stud assemblies 2 - Shuweihat&D,DAS,Outdoor Covered,240.0,183.0,58.0,2.54736,742.0,842.0,4.392,HITACHI
HVDC-ADOPT-HE-0003,207713,DAS,EQ-001,1,Laminate stud assemblies 2 - Shuweihat&D,DAS,Outdoor Covered,240.0,183.0,58.0,2.54736,742.0,842.0,4.392,HITACHI
HVDC-ADOPT-HE-0003,207714,DAS,EQ-001,1,Side Shield Pairs - Pack 1,DAS,Outdoor covered,240.0,183.0,58.0,2.54736,742.0,842.0,4.392,HITACHI
HVDC-ADOPT-HE-0003,207715,DAS,EQ-001,1,Laminate stud assemblies 2 - Shuweihat&D,DAS,Outdoor Covered,240.0,183.0,58.0,2.54736,742.0,842.0,4.392,HITACHI
HVDC-ADOPT-HE-0003,207716,DAS,EQ-001,1,Laminate stud assemblies 2 - Shuweihat&D,DAS,Outdoor Covered,240.0,183.0,58.0,2.54736,742.0,842.0,4.392,HITACHI
HVDC-ADOPT-HE-0003,207717,DAS,EQ-001,1,Laminate stud assemblies,DAS,Outdoor covered,238.0,183.0,58.0,2.526132,730.0,830.0,4.3554,HITACHI
HVDC-ADOPT-HE-0003,207774,DAS,EQ-001,1,Side Shield Pairs - Pack 1,DAS,Outdoor Covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
HVDC-ADOPT-HE-0003,207775,DAS,EQ-001,1,Side Shield Pairs - Pack 1,DAS,Outdoor Covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
HVDC-ADOPT-HE-0003,207776,DAS,EQ-001,1,Side Shield Pairs - Pack 1,DAS,Outdoor Covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
HVDC-ADOPT-HE-0003,207777,DAS,EQ-001,1,Side Shield Pairs - Pack 1,DAS,Outdoor Covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
HVDC-ADOPT-HE-0003,207778,DAS,EQ-001,1,Side Shield Pairs - Pack 1,DAS,Outdoor covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
HVDC-ADOPT-HE-0003,207779,DAS,EQ-001,1,Side Shield Pairs - Pack 1,DAS,Outdoor covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
HVDC-ADOPT-HE-0003,207787,DAS,EQ-001,1,Side Shield Pairs - Pack 1,DAS,Outdoor Covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
HVDC-ADOPT-HE-0003,207788,DAS,EQ-001,1,Side Shield Pairs - Pack 1,DAS,Outdoor Covered,420.0,205.0,140.0,12.054,590.0,1031.0,8.61,HITACHI
HVDC-ADOPT-HE-0003,207821,DAS,EQ-001,1,Side Shield Holders,DAS,Outdoor Covered,355.0,92.0,99.0,3.23334,944.0,1126.0,3.266,HITACHI
HVDC-ADOPT-HE-0003,207822,DAS,EQ-001,1,Side Shield Holders,DAS,Outdoor Covered,355.0,92.0,99.0,3.23334,944.0,1126.0,3.266,HITACHI
HVDC-ADOPT-HE-0003,207823,DAS,EQ-001,1,Side Shield Holders,DAS,Outdoor Covered,355.0,92.0,99.0,3.23334,944.0,1126.0,3.266,HITACHI
HVDC-ADOPT-HE-0003,207847,DAS,EQ-001,1,Composite Post Insulator-Bottom,DAS,Outdoor Covered,348.0,101.0,105.0,3.69054,500.0,598.0,3.5148,HITACHI
HVDC-ADOPT-HE-0003,207848,DAS,EQ-001,1,Composite Post Insulator-Bottom,DAS,Outdoor Covered,348.0,101.0,105.0,3.69054,500.0,598.0,3.5148,HITACHI
HVDC-ADOPT-HE-0003,207853,DAS,EQ-001,1,Composite Post Insulator-Bottom,DAS,Outdoor Covered,348.0,101.0,105.0,3.69054,500.0,598.0,3.5148,HITACHI
HVDC-ADOPT-HE-0003,207854,DAS,EQ-001,1,Composite Post Insulator-Bottom,DAS,Outdoor Covered,348.0,101.0,105.0,3.69054,500.0,598.0,3.5148,HITACHI
HVDC-ADOPT-HE-0003,208223,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor Covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0003,208224,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor Covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0003,208225,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor Covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0003,208226,DAS,EQ-001,1,Bottom Shield,DAS,Outdoor Covered,426.0,231.0,255.0,25.09353,400.0,1144.0,9.8406,HITACHI
HVDC-ADOPT-HE-0004,207652,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207653,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207654,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207655,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207656,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207657,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207658,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207659,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207660,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207661,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207662,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207663,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207664,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207665,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207666,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207667,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207668,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207669,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207670,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207671,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207672,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207673,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207674,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207675,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207676,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207677,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207678,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207679,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207680,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207681,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207682,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207683,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207684,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207685,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207686,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0004,207687,DAS,EQ-001,1,Top Part Installation - Positive,DAS,Outdoor covered,447.0,270.0,108.0,13.03452,600.0,1040.0,12.069,HITACHI
HVDC-ADOPT-HE-0005,207590,DAS,EQ-001,1,PEX Pipes,DAS,Outdoor covered,265.0,130.0,69.0,2.37705,30.0,197.0,3.445,HITACHI
HVDC-ADOPT-HE-0005,207591,DAS,EQ-001,1,PEX Pipes,DAS,Outdoor covered,265.0,130.0,69.0,2.37705,30.0,197.0,3.445,HITACHI
HVDC-ADOPT-HE-0005,207592,DAS,EQ-001,1,PEX Pipes,DAS,Outdoor covered,265.0,130.0,69.0,2.37705,30.0,197.0,3.445,HITACHI
HVDC-ADOPT-HE-0005,207593,DAS,EQ-001,1,PEX Pipes,DAS,Outdoor covered,265.0,130.0,69.0,2.37705,30.0,197.0,3.445,HITACHI
HVDC-ADOPT-HE-0005,207594,DAS,EQ-001,1,PEX Pipes,DAS,Outdoor covered,265.0,130.0,69.0,2.37705,30.0,197.0,3.445,HITACHI
HVDC-ADOPT-HE-0005,207595,DAS,EQ-001,1,PEX Pipes,DAS,Outdoor covered,265.0,130.0,69.0,2.37705,30.0,197.0,3.445,HITACHI
HVDC-ADOPT-HE-0005,207596,DAS,EQ-001,1,PEX Pipes,DAS,Outdoor covered,265.0,130.0,69.0,2.37705,30.0,197.0,3.445,HITACHI
