hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0107,PRL-MIR-005-O2 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,MAGLEBY Maersk/Luciana,85352900,SEK,114355.0
HVDC-ADOPT-HE-0108,PRL-CS-005-O1,HITACHI,Sweden,Gothenburg,Khalifa port,MAGLEBY Maersk,85043121,EUR,56797.47
HVDC-ADOPT-HE-0109,PRL-CS-005-O2 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,MAGLEBY Maersk,8504 31 21,EUR,56797.47
HVDC-ADOPT-HE-0110,PRL-MIR-008-O4,HITACHI,Brazil,Itaguai,Mina Zayed,BBC Sapphire,85042300,SEK,41917339.0
HVDC-ADOPT-HE-0111,PRL-MIR-002-O1 Lot 1,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Hamburg,85044083,SEK,327582.0
HVDC-ADOPT-HE-0112,PRL-MIR-002-O2 Lot 1,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Hamburg,85044083,SEK,327582.0
HVDC-ADOPT-HE-0113,PRL-MIR-002-O Lot 2,HITACHI,Sweden,Gothenburg,Khalifa port,Edith Maersk,85044083,SEK,327582.0
HVDC-ADOPT-HE-0114,PRL-CS-007-O1 Lot 1,HITACHI,Germany,Antwerpen,Khalifa port,MSC Marie,85045000,EUR,12770.23
HVDC-ADOPT-HE-0115,PRL-MIR-007-O1 Lot 1,HITACHI,Sweden,Antwerpen,Khalifa port,MSC Luciana,85045000,EUR,14957.75
HVDC-ADOPT-HE-0116,PRL-SHU-010-OS,HITACHI,Sweden,Uddevalla,Mugharraq,BBC Africa,85042300,SEK,31298760.0
HVDC-ADOPT-HE-0117,PRL-SHU-007-O2 Spare,HITACHI,Sweden,Antwerpen,Khalifa port,MSC Luciana,85045000,EUR,3486.52
HVDC-ADOPT-HE-0118,PRL-CS-007-O1 Lot 2,HITACHI,Germany,Antwerpen,Khalifa port,MSC Marie,85045000,EUR,17233.9
