hvdc_code,case_no,flow_code,flow_code_original,flow_code_derived,override_reason,warehouse_count,has_mosb_leg,has_site_arrival,customs_code,customs_start_iso,customs_end_iso,last_status,requires_review
HVDC-ADOPT-HE-0003,207715,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207716,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207717,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207774,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207775,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207776,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207777,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207778,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207779,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207787,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207788,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207821,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207822,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207823,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207847,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207848,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207853,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,207854,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,208223,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,208224,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,208225,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0003,208226,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-01-22T00:00:00+04:00,2024-01-23T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207652,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207653,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207654,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207655,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207656,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207657,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207658,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207659,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207660,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207661,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207662,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207663,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207664,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207665,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207666,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207667,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207668,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207669,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207670,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207671,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207672,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207673,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207674,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207675,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207676,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207677,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
